State,Abbreviation,Code,1990-not-hs,1990-hs,1990-bachelors,1990-advanced,2000-hs,2000-bachelors,2000-advanced,2006-hs,2006-bachelors,2006-advanced,2007-hs,2007-bachelors,2007-advanced,2008-hs,2008-bachelors,2008-advanced,2009-hs,2009-bachelors,2009-advanced
Oregon,OR,41,18.5,81.5,20.6,7.0,85.1,25.1,8.7,87.6,27.5,10.0,88.0,28.3,10.3,88.6,28.1,10.1,89.1,29.2,10.4
Pennsylvania,PA,42,25.3,74.7,17.9,6.6,81.9,22.4,8.4,86.2,25.4,9.6,86.8,25.8,9.9,87.5,26.3,10.0,87.9,26.4,10.2
Rhode Island,RI,44,28.0,72.0,21.3,7.8,78.0,25.6,9.7,82.4,29.6,11.3,83.0,29.8,11.8,83.7,30.0,11.3,84.7,30.5,11.7
South Carolina,SC,45,31.7,68.3,16.6,5.4,76.3,20.4,6.9,81.3,22.7,7.9,82.1,23.5,8.2,83.2,23.7,8.5,83.6,24.3,8.4
South Dakota,SD,46,22.9,77.1,17.2,4.9,84.6,21.5,6.0,88.3,24.8,7.2,88.2,25.0,7.0,90.3,25.1,7.3,89.9,25.1,7.3
Tennessee,TN,47,32.9,67.1,16.0,5.4,75.9,19.6,6.8,80.9,21.7,7.5,81.4,21.8,7.6,83.0,22.9,8.0,83.1,23.0,7.9
Texas,TX,48,27.9,72.1,20.3,6.5,75.7,23.2,7.6,78.6,24.7,8.0,79.1,25.2,8.2,79.6,25.3,8.3,79.9,25.5,8.5
Utah,UT,49,14.9,85.1,22.3,6.8,87.7,26.1,8.3,90.2,28.6,9.4,90.2,28.7,9.1,90.4,29.1,9.4,90.4,28.5,9.1
Vermont,VT,50,19.2,80.8,24.3,8.9,86.4,29.4,11.1,89.8,32.4,12.8,90.3,33.6,12.9,90.6,32.1,12.2,91.0,33.1,13.3
Virginia,VA,51,24.8,75.2,24.5,9.1,81.5,29.5,11.6,85.4,32.7,13.2,85.9,33.6,13.7,85.9,33.7,13.8,86.6,34.0,14.1
Washington,WA,53,16.2,83.8,22.9,7.0,87.1,27.7,9.3,89.0,30.5,10.7,89.3,30.3,10.8,89.6,30.7,10.9,89.7,31.0,11.1
West Virginia,WV,54,34.0,66.0,12.3,4.8,75.2,14.8,5.9,81.0,16.5,6.6,81.2,17.3,6.6,82.2,17.1,6.7,82.8,17.3,6.7
Wisconsin,WI,55,21.4,78.6,17.7,5.6,85.1,22.4,7.2,88.4,25.1,8.4,89.0,25.4,8.5,89.6,25.7,8.6,89.8,25.7,8.4
Wyoming,WY,56,17.0,83.0,18.8,5.7,87.9,21.9,7.0,90.2,22.7,7.4,91.2,23.4,7.7,91.7,23.6,7.9,91.8,23.8,7.9
